"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Bigham A.; Mariano A.; Boccaccini A.R.; Ambrosio L.; Raucci M.G.","Bigham, Ashkan (56872672900); Mariano, Anna (57221675072); Boccaccini, Aldo R. (55937239600); Ambrosio, Luigi (7007021394); Raucci, Maria Grazia (6602821275)","56872672900; 57221675072; 55937239600; 7007021394; 6602821275","Black phosphorus in theragenerative medicine: a multi-organ perspective on disease modulation and tissue repair","2026","Bioactive Materials","58","","","422","471","2","10.1016/j.bioactmat.2025.12.019","https://www.scopus.com/pages/publications/105024753304?origin=resultslist","Black phosphorus (BP) has attracted considerable attention as a biodegradable, stimuli-responsive 2D nanomaterial, emerging as a powerful theragenerative platform that integrates disease modulation with tissue regeneration. While earlier studies focused mainly on its anticancer properties, this review provides the first comprehensive analysis of BP as a theragenerative agent, unifying its disease-modulating capacity with its ability to stimulate tissue regeneration across multiple organs. BP exhibits several shared advantages: its degradation releases bioactive phosphate ions that support tissue repair; its highly reactive surface promotes cell interactions and enables efficient drug loading and delivery; its responsiveness to external stimuli, such as Near-infrared (NIR) light, ultrasound, and electrical signals, allows precise, on-demand therapeutic activation; and its ability to modulate reactive oxygen species (ROS) and immune modulation helps balance inflammation and regeneration. These properties collectively enhance osteogenesis and implant integration in bone, accelerate wound healing in skin, promote neural repair and redox homeostasis, protect cardiac tissue, and support recovery in kidney and liver injuries. By highlighting these mechanisms, this review emphasizes BP's versatility as a multifunctional nanomaterial capable of addressing pathological conditions while simultaneously stimulating endogenous regenerative pathways, thereby laying the foundation for its translation into next-generation theragenerative platforms. © 2025","2D nanomaterials; Black phosphorus; Disease therapy; Stimuli-responsive; Tissue regeneration","nanomaterial; phosphate; phosphorus; reactive oxygen metabolite; antineoplastic activity; bone development; cancer inhibition; cell interaction; controlled study; heart tissue; human; immunomodulation; liver injury; nonhuman; review; therapy; tissue regeneration; tissue repair; ultrasound; wound healing","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024753304"
"Ajiz H.A.; Suryandari A.S.; Afifa U.I.; Widiyastuti W.; Setyawan H.; Qomariyah L.; Fauziyah M.","Ajiz, Hendrix Abdul (57205476207); Suryandari, Ade Sonya (58535875900); Afifa, Ulfiana Ihda (59311470700); Widiyastuti, Widiyastuti (16040774700); Setyawan, Heru (6602568058); Qomariyah, Lailatul (57194498037); Fauziyah, Mar’atul (57205024675)","57205476207; 58535875900; 59311470700; 16040774700; 6602568058; 57194498037; 57205024675","Biomass-derived SiO2/C-Anchored ZnO quantum dots for sustainable photocatalytic wastewater treatment","2026","Nanotechnology for Environmental Engineering","11","3","80","","","0","10.1007/s41204-026-00571-8","https://www.scopus.com/pages/publications/105041134276?origin=resultslist","The development of sustainable photocatalysts for persistent dye pollutants remains a major challenge in ″advanced wastewater treatment. Herein, a biomass-assisted ZnO/SiO2/C hybrid photocatalyst was engineered through a regenerated cellulose carbamate-mediated sol-gel route followed by pyrolysis at 700 °C. The incorporation of ZnO into the biomass-derived SiO2/C framework generated hybrid architectures with tunable crystallinity, morphology, and interfacial charge-transfer characteristics. XRD analysis revealed that ZnO crystallite sizes increased from approximately 6.6–16.4 nm before pyrolysis to 8.7–23.9 nm after pyrolysis, depending on ZnO concentration, indicating thermally induced crystallization and structural evolution during pyrolysis. The systematic variation of ZnO molar fraction significantly influenced photocatalytic performance, where methylene blue degradation increased from 32.28% at 25 mol% ZnO to an optimum of 58.27% at 50 mol% ZnO, followed by a decrease to 52.23% at 75 mol% ZnO due to excessive particle agglomeration. Photocatalytic experiments further demonstrated substantially higher degradation of cationic methylene blue than anionic methyl orange, highlighting the critical role of electrostatic adsorbate-catalyst interactions. These findings establish a sustainable and mechanistically informed strategy for designing biomass-derived inorganic-carbon hybrid photocatalysts toward advanced wastewater remediation. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Biomass waste; Electrostatic force; Non-noble metal; Photomaterial; Regenerated-cellulose","Anatomy; Biomass; Cellulose; Charge Transfer; Crystallinity; Dyes; Biomass; Cellulose; Charge transfer; Complexation; Crystallinity; Crystallite size; Dyes; Electrostatic devices; Morphology; Nanocrystals; Photocatalysts; Photocatalytic activity; Pyrolysis; Sol-gel process; Sol-gels; Wastewater reclamation; Wastewater treatment; Biomass wastes; Dye pollutants; Hybrid photocatalysts; Non-noble metal; Photo-catalytic; Photomaterials; Regenerated cellulose; SiO 2; ZnO; ZnO quantum dots; Electrostatic force","Article","Final","","Scopus","2-s2.0-105041134276"
"Wang S.; Wang L.; Zhou X.; Fang J.; Deng C.; Wang D.","Wang, Shunwu (57202787635); Wang, Ligang (57190291669); Zhou, Xiaodong (57218087261); Fang, Jinjie (57205883442); Deng, Chen (59567344500); Wang, Dingsheng (55713255700)","57202787635; 57190291669; 57218087261; 57205883442; 59567344500; 55713255700","Design principles of single-atom catalysts anchored over porous materials for green catalysis and conversion","2025","Nano Research","18","5","94907137","","","39","10.26599/NR.2025.94907137","https://www.scopus.com/pages/publications/105008277926?origin=resultslist","Single-atom catalysts (SACs) are drawing widespread attention because of high atomic availability, strong metal-support interaction (SMSI), high activity, and selectivity. The porous materials are potential supports for anchoring single atoms due to their ultrahigh surface areas and homogeneously adjustable channel structure. The SACs stabilized over the porous materials, such as zeolites, metal-organic frameworks (MOFs), carbon nitride (CN), and other mesoporous materials (silica, metal oxides), have been extensively explored nowadays. In this review, we summarize and highlight the latest studies in microenvironment regulation of single atom active centers through a full-scale comparison over porous materials anchored SACs in the advancement of structure characteristics, modulation strategy, characterizations, and reaction implementations. The precise electronic and geometric configurations of isolated metal atoms can be modulated through the strong interaction between the metals and supports of porous materials. Furthermore, recent progress of certain typical catalytic reaction is comprehensively explored to receive in-depth analysis of the catalytic mechanisms over the well-regulated SACs based on advanced techniques. Finally, the principal challenges and outlooks of porous materials supported SACs toward potential catalytic reaction are also suggested and expected. This work will offer novel perspectives on the progression of well distributed catalysts for a series of practical application. © The Author(s) 2025.","catalytic applications; porous materials; single-atom catalysts; strong metal-support interaction; structure–activity relationship","Atoms; Carbon nitride; Catalysis; Catalyst activity; Catalyst supports; Crystalline materials; Mesoporous materials; Metal drawing; Metal-Organic Frameworks; Silica; Catalytic applications; Catalytic reactions; Design Principles; Green catalysis; High activity; Single-atom catalyst; Single-atoms; Strong metal-support interaction; Structure-activity relationships; ]+ catalyst; Catalyst selectivity","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008277926"
"Saha D.; Tang C.; Khan J.; Jain P.; Yang C.-J.; Dong C.-L.; Webster R.F.; Chen C.-L.; Chen Z.; Bai P.; Tilley R.M.; Wu N.; Watkins J.J.","Saha, Dipankar (57219910732); Tang, Chaoyun (55546205300); Khan, Javed (60266086100); Jain, Pulkit (59960995500); Yang, Cheng-Jie (58599836800); Dong, Chung-Li (7401919234); Webster, Richard F. (55900760000); Chen, Chi-Liang (55707814200); Chen, Zhu (56896374200); Bai, Peng (53663301900); Tilley, Richard M. (60266193000); Wu, Nianqiang (58606662100); Watkins, James J. (35566214200)","57219910732; 55546205300; 60266086100; 59960995500; 58599836800; 7401919234; 55900760000; 55707814200; 56896374200; 53663301900; 60266193000; 58606662100; 35566214200","Alkaline electrocatalytic water oxidation by Fe–Ni nanostructures on porous turbostratic carbon with tailorable metal–metal active sites","2026","Chemical Science","17","7","","3841","3856","2","10.1039/d5sc05330g","https://www.scopus.com/pages/publications/105026464682?origin=resultslist","Metal ensembles on carbon supports enhance electrocatalysis by requiring close metal–metal proximity, but controlling their clustering remains difficult with current synthesis methods. This study presents a one-step high-throughput synthesis using a bottlebrush block copolymer (BBCP) template, dopamine, and metal precursors (Fe and Ni salts), which can generate high metal loadings (4 at%) of bimetallic Fe–Ni nanostructures with a reduced metallic oxidation state. The BBCP template and polymerized dopamine create a porous carbon matrix upon carbonization. Rapid photothermal pyrolysis, a photonic curing technique, carbonizes samples in seconds, creating uniform Fe–Ni active sites with reduced time and low cost. The short time scales of carbonization and metal precursor reduction favor high metal dispersion, small cluster formation, and the reduced metal oxidation state, all crucial for catalyst performance. In oxygen evolution reaction (OER) testing, the Fe–Ni/N–C catalyst showed a 130 mV overpotential at 10 mA cm−2 and a Tafel slope of 40 mV per dec in 1 M KOH. Tailorable Ni–Fe active sites enable high activity and stability, achieving 100 mA cm−2 at 1.75 V in 1 M KOH at 80 °C with an alkaline membrane electrode assembly (MEA). The unique synthesis approach enables rapid, large-scale production of high-performance electrocatalysts with tunable metal–metal sites, advancing sustainable fuel generation. This journal is © The Royal Society of Chemistry, 2026","","Carbonization; Electrocatalysis; Electrocatalysts; Electrodes; Iron; Metal fuels; Nanostructures; Neurophysiology; Nickel; Oxidation; Oxygen evolution reaction; Porous carbon; Active site; Alkalines; Block copolymer templates; Carbonisation; Dopamine; Electrocatalytic; Metal precursor; Oxidation state; Turbostratic; Water oxidation; Potassium hydroxide","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026464682"
"Li D.; Wang K.; Li J.; Li Z.; Wang H.; Wang Y.","Li, Danping (59408651300); Wang, Kaichong (57211852508); Li, Jia (57205585374); Li, Zibin (58997502300); Wang, Han (56602981600); Wang, Yayi (8250514900)","59408651300; 57211852508; 57205585374; 58997502300; 56602981600; 8250514900","Strategies for optimizing the efficiency and selectivity of photocatalytic aqueous CO2 reduction: Catalyst design and operating conditions","2025","Nano Energy","133","","110460","","","23","10.1016/j.nanoen.2024.110460","https://www.scopus.com/pages/publications/85208981451?origin=resultslist","Photocatalytic carbon dioxide (CO2) reduction (CO2R) technology towards carbon neutrality is a green and sustainable method to produce carbonous feedstocks (e.g., methane, ethanol, acetic acid). However, the relatively low CO2R efficiency and unsatisfactory selectivity towards target products hinder its scale-up implementation. Photocatalysts and operating conditions are pivotal in tuning the catalytic environment and governing CO2R activity. Herein, the photocatalytic CO2R mechanism and conversion pathways for main C1/C2/C3 products are elaborated. Then, the recent advances in promoting CO2 photoreduction efficiency and selectivity are summarized and discussed, paying special attention to the catalyst design approaches (defect design and interfacing engineering), as well as the operating conditions (e.g., light intensity and wavelength, pH, CO2 pressure/concentration, solvent volume, dissolved oxygen, and coexisting ions) which directly affect the catalytic environment. Future researches on photocatalytic CO2R are proposed in terms of efficient catalyst design, intrinsic transformation mechanism, and sustainable application-oriented CO2R technologies. The insights obtained will advance our mechanistic understanding of regulating CO2R pathways, and help drive the adoption of sustainable and highly efficient strategies for producing desired products. © 2024 Elsevier Ltd","Aqueous phase; Catalyst design; Operating conditions; Pathways; Photocatalytic CO<sub>2</sub> reduction","Carbon capture and storage; Direct air capture; Zero-carbon; Aqueous phasis; Catalyst designs; Catalytic environment;  reduction; Operating condition; Pathway; Photo-catalytic; Photocatalytic CO2 reduction; Reduction catalyst; Reduction technologies; Carbon capture and utilization","Review","Final","","Scopus","2-s2.0-85208981451"
"Burungale V.V.; Gaikwad M.A.; Bae H.; Mane P.; Heo J.; Seong C.; Kim J.H.; Oh J.; Ha J.-S.","Burungale, Vishal V. (55791868500); Gaikwad, Mayur A. (57510481500); Bae, Hyojung (55185166000); Mane, Pratik (57279728200); Heo, Jiwon (57892921000); Seong, Chaewon (57310649900); Kim, Jin Hyeok (55453169100); Oh, Jihun (56330685800); Ha, Jun-Seok (59716934700)","55791868500; 57510481500; 55185166000; 57279728200; 57892921000; 57310649900; 55453169100; 56330685800; 59716934700","Advances in gas diffusion electrode technology for electrochemical CO2 reduction: Innovations, challenges, and future directions","2025","Materials Science and Engineering R: Reports","166","","101064","","","4","10.1016/j.mser.2025.101064","https://www.scopus.com/pages/publications/105010695809?origin=resultslist","In response to the growing challenges of global warming and the necessity to reduce carbon dioxide (CO2) emissions, in recent times, CO2 reduction technology has gained significant attention. Following early H-cell breakthroughs, the integration of Gas Diffusion Electrodes (GDEs) has accelerated the progress of industrially viable CO2 reduction. However, despite several recent breakthroughs in GDE-based CO2 reduction, there is a considerable lack of focused reviews on this topic. Addressing this gap, the present review systematically discusses recent progress in GDEs over the past six years within the specific context of electrochemical CO2 reduction. Focused specifically on GDEs, the review explores different designs and materials used for the fabrication of GDEs, along with a discussion on their pros and cons. It covers the fundamentals of CO2 reduction, GDE structures, and electrolytic cell designs. Further, the review addresses the challenges and breakthroughs in GDE technology by extending the discussion on self-supported GDEs, innovative approaches, fundamental studies, and some advanced CO2 reduction technologies such as GDE-based Bioelectrodes and on-site CO2 capture and conversion. Finally, the findings of the literature have been summarized in the section of a summary and future perspectives, offering valuable insights to accelerate the development of industrially viable CO2 reduction. © 2025 Elsevier B.V.","Breakthroughs in GDE technology; CO<sub>2</sub> reduction technology; Electrochemical CO<sub>2</sub> reduction (ECR); Gas diffusion electrodes (GDEs); Industrial CO<sub>2</sub> reduction","Carbon dioxide; Diffusion in gases; Electrolytic cells; Electrolytic reduction; Global warming; Breakthrough in gas diffusion electrode technology; CO2 reduction technology;  reduction; Electrochemical CO2 reduction; Electrochemicals; Electrode technology; Gas diffusion electrode; Gas diffusion electrodes; Industrial CO; Industrial CO2 reduction; Reduction technologies; Electrochemical electrodes","Review","Final","","Scopus","2-s2.0-105010695809"
"Gong T.; Wang Z.; Luo W.; Huang X.; Pan J.; Chen X.; Chen M.; Shakir I.; Tang X.; Liu X.","Gong, Tingdong (59498358000); Wang, Zhiwei (55568485200); Luo, Wenli (60362789100); Huang, Xiaomei (58668876800); Pan, Juntao (58170063400); Chen, Xiyong (57191991692); Chen, Meiran (58421799100); Shakir, Imran (36145338500); Tang, Xin (55264056600); Liu, Xijun (36834235700)","59498358000; 55568485200; 60362789100; 58668876800; 58170063400; 57191991692; 58421799100; 36145338500; 55264056600; 36834235700","Multi-heterojunction engineering of simple oxide electrolyte for high-performance low-temperature solid oxide fuel cells","2026","Nano Research","19","5","94908331","","","0","10.26599/NR.2026.94908331","https://www.scopus.com/pages/publications/105037653817?origin=resultslist","Achieving high performance in solid oxide fuel cells (SOFCs) under low-temperature operation remains hindered by the lack of efficient electrolytes that can simultaneously ensure fast ion transport and negligible electron leakage. Here, we introduce a ternary multi-heterojunction composite electrolyte based on p-type NiO, n-type Li0.25Sn0.75O2−δ (LS), and Sm0.2Ce0.8O2−δ (SDC) to testify its high-performance capability in low-temperature SOFCs. The unique configuration integrates two p–n and one n–n junctions, which can promote the oxygen ion transport while eliminating electronic short-circuiting. The optimized NLS–SDC 6:4 heterostructure (in mass ratio, and NLS stands for the NiO–LS composite precusor prepared in molar ratio of 8:9) achieves a record of an ionic conductivity around 0.348 S·cm−1 and a peak power density (PPD) of 916 mW·cm−2 at 550 °C, and a long-term stability of over 280 h operation at 150 mA·cm−2. Multi-scale characterizations coupled with the density functional theory analyses confirm that the interfacial band alignment and oxygen vacancy enrichment synergistically drive the exceptional ion transport properties. This study highlights multi‐heterojunction engineering of simple oxides as a versatile and scalable strategy for next-generation SOFC electrolytes, with broad implications for solid oxide electrolysis, solar energy conversion, and selective ion-conducting membranes. © The Author(s) 2026.","long-term stability; low-temperature ceramic fuel cells; multi-heterojunction composite electrolyte; simple oxides","Gas fuel purification; High temperature engineering; Ion exchange; Ion selective membranes; Ions; Low temperature operations; Molar ratio; Nickel oxide; Oxygen; Solar energy; Solar power generation; Solid electrolytes; Temperature; Ceramic fuel cells; Composite electrolytes; Long term stability; Low temperature ceramics; Low temperature solid oxide fuel cells; Low-temperature ceramic fuel cell; Low-temperature solid oxide fuel cells; Multi-heterojunction composite electrolyte; Performance; Simple oxides; Solid oxide fuel cells (SOFC)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105037653817"
"Askarzadeh N.; Shokrollahi H.","Askarzadeh, N. (58811424500); Shokrollahi, H. (55523101461)","58811424500; 55523101461","Advances in YIG thin films: Deposition strategies and substrate effects","2025","Results in Chemistry","16","","102390","","","7","10.1016/j.rechem.2025.102390","https://www.scopus.com/pages/publications/105006926112?origin=resultslist","Yttrium Iron Garnet (YIG) thin films are key materials for advanced microwave, spintronic, and optoelectronic devices due to their ultra-low ferromagnetic losses, high electrical resistivity, and broad functional bandwidth. However, achieving high-quality YIG films with optimized microstructure and minimal defects remains a significant challenge. This review provides a comprehensive examination of recent advancements in deposition techniques, comparing precise physical methods such as pulsed laser deposition (PLD), laser thermal layer growth (LHPG), sputtering, and aerosol-assisted deposition with scalable chemical approaches like liquid-phase epitaxy (LPE), spin coating, dip coating, chemical vapor deposition (CVD), hydrothermal synthesis, spray pyrolysis, and polymer assisted deposition (PAD). Additionally, the impact of substrate selection, ranging from gadolinium gallium garnet (GGG), quartz, alumina (Al2O3), to yttrium aluminum garnet (YAG), on lattice strain, defect formation, and magnetic performance is analyzed. By addressing the interplay between deposition processes, substrate selection, and functional performance, this review offers insights into optimizing YIG thin films for next-generation technological applications. © 2025 The Authors","Epitaxial growth; GHz-frequency devices; Lattice strain; Magneto-optical devices; Spintronics; Thin films; Yttrium Iron garnet","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105006926112"
"Madani-Nejad E.; Bagheri A.R.; Shokrollahi A.; Shahdost-Fard F.","Madani-Nejad, Elham (58166729400); Bagheri, Ahmad Reza (57189662660); Shokrollahi, Ardeshir (59157673100); Shahdost-Fard, Faezeh (55683902200)","58166729400; 57189662660; 59157673100; 55683902200","From waste to worth: A comprehensive review on waste-derived nanomaterials for optical sensing applications","2026","TrAC - Trends in Analytical Chemistry","196","","118694","","","2","10.1016/j.trac.2026.118694","https://www.scopus.com/pages/publications/105028248929?origin=resultslist","This review article provides a comprehensive overview of the latest advances in the preparation, properties, and sensing performance of waste-derived nanomaterials (NMs). This article is novel and informative in its scope, since: (a) different approaches for the synthesis of NMs are investigated, considering the advantages and disadvantages of each one; (b) the efficiency of waste-derived NMs in optical sensors is evaluated; (c) it is discussed how waste precursor chemistry can dictate NM surface functionalities and resulting optical selectivity and sensitivity; (d) it is reviewed how heteroatom doping can tune the electronic structure, bandgap, defect states, and optical absorption of waste-derived NMs; (e) different optical sensing mechanisms of waste-derived NMs, including fluorescence enhancing/quenching, inner-filter effect, Förster resonance energy transfer, and surface-state modulation, are assessed; and (f) current trends and future bottlenecks in relation to the synthesis and use of waste-derived NMs in optical sensing platforms are illustrated. © 2026","Green chemistry; Optical assay; Optical nanoprobes; Recycle; Responsible research and innovation; Waste","Electronic Waste; Nanoprobes; Nanostructured materials; Optical sensors; Synthesis (chemical); nanomaterial; Green-chemistry; Optical assays; Optical nano-probes; Optical sensing; Optical-; Property; Recycle; Responsible research and innovation; Sensing applications; Sensing performance; absorption; energy transfer; fluorescence; green chemistry; human; inner filter effect; nanoprobe; nonhuman; optical sensor; optics; pharmaceutics; review; synthesis; waste; Wastes","Review","Final","","Scopus","2-s2.0-105028248929"
"Li N.; Li S.; Man Z.; Zuo K.; Liu J.; Zhang L.; Zhang T.; Xiao G.; Li W.; Lu Y.","Li, Ningbo (56562152500); Li, Shishuo (59002367400); Man, Zhentao (56089412000); Zuo, Kangqing (57218137953); Liu, Jianing (57218392686); Zhang, Linbo (59535815500); Zhang, Taixing (59536166900); Xiao, Guiyong (11140955400); Li, Wei (57196304036); Lu, Yupeng (7405475930)","56562152500; 59002367400; 56089412000; 57218137953; 57218392686; 59535815500; 59536166900; 11140955400; 57196304036; 7405475930","The latest perspective on fabrication strategies of smart implants for bone tissue repair and regeneration","2025","Materials and Design","256","","114316","","","7","10.1016/j.matdes.2025.114316","https://www.scopus.com/pages/publications/105009939261?origin=resultslist","Repairing bone tissue by artificial implants is always the most effective strategy to clinically treat bone injuries including in orthopedics and stomatology. To date, the demand for bone repair gradually develops from simple fixation and shape repair to reconstruction of multifunctional living tissue. However, fabrication of an intelligent implant with ideal osteogenesis-related functions, similar mechanical and structural characteristics to natural bone is constantly challenging. Herein, we systematically elaborate on the latest research perspectives of smart implants for bone tissue repair and regeneration by referring to hundreds of the latest relevant publications. The latest selection and combination of variable biomaterials, including biodegradable and non-biodegradable materials, are comprehensively discussed for preparing the desirable bone implants. The innovative fabrication strategies for zero-dimensional (0D), 1D, 2D, 3D, and 4D implant materials are highlighted in terms of their different styles in clinical application for achieving high-efficiency biocompatibility and osteogenesis-related functions. The stimulation and regulatory effects of the physiochemical characteristics of these intelligent biomaterials on osteogenesis-related functions and bone tissue regeneration are also included and predicted. This review proposes a latest perspective on fabrication strategies of smart implants, aiming to provide innovatively technical and theoretical support for their design and clinical applications in bone tissue repair. © 2025 The Author(s)","3D/4D osteogenic microenvironments; Biodegradable materiasls; Bone tissue repair and regeneration; Fabrication strategies; Smart bone implants","Bone; Fabrication; Implants (surgical); Morphology; Repair; Smart Biomaterials; Tissue regeneration; 3d/4d osteogenic microenvironment; Biodegradable materiasl; Bone implant; Bone tissue; Bone tissue repair and regeneration; Fabrication strategies; Microenvironments; Osteogenic; Smart bone implant; Tissue repair; Biocompatibility","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009939261"
"Foorginezhad S.; Zerafat M.M.; Ismail A.F.; Goh P.S.","Foorginezhad, Sahar (57195481550); Zerafat, Mohammad Mahdi (23995839100); Ismail, Ahmad Fauzi (7201548542); Goh, Pei Sean (25823091000)","57195481550; 23995839100; 7201548542; 25823091000","Emerging membrane technologies for sustainable water treatment: a review on recent advances","2025","Environmental Science: Advances","4","4","","530","570","90","10.1039/d4va00378k","https://www.scopus.com/pages/publications/105002323475?origin=resultslist","The growing scarcity of freshwater resources, coupled with industrial pollution, necessitates the development of efficient and sustainable water treatment technologies. Membrane-based desalination and heavy metal removal processes are at the forefront of these technologies, providing efficient and reliable solutions to meet the growing demand for clean water. This study provides a comprehensive review on recent advancements in desalination technologies, focusing on emerging materials that have significantly influenced desalination and heavy metal removal performances. A meticulous screening of recent review papers on both along with experimental studies published within the last year is provided, thereby offering an updated perspective on the ongoing experiments dedicated to water treatment using membranes. Notably, this review considers various membrane types, including nanocomposites, biomimetic, thin-film composites, hybrids, and membranes associated with forward osmosis. Results indicate that nanocomposite membranes, thin-film composite membranes, and forward osmosis membranes are widely used for desalination and heavy metal removal compared to hybrid and biomimetic membranes. This widespread utilization can be attributed to their well-established fabrication techniques, robust mechanical properties, high removal%, and better scalability for industrial applications. In contrast, while hybrid and biomimetic membranes are promising, they are still under development and facing challenges pertaining to material synthesis, cost, and integration into existing systems. © 2025 RSC.","","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105002323475"
"Vasluianu R.I.; Bobu L.; Lupu I.-C.; Antohe M.; Bulancea B.P.; Moldovanu A.; Stamatin O.; Holban C.C.; Dima A.M.","Vasluianu, Roxana Ionela (55324617900); Bobu, Livia (56416432100); Lupu, Iulian-Costin (56376061600); Antohe, Magda (6507036235); Bulancea, Bogdan Petru (57195513076); Moldovanu, Antonia (55955461600); Stamatin, Ovidiu (55849241400); Holban, Catalina Cioloca (60114774100); Dima, Ana Maria (59712693700)","55324617900; 56416432100; 56376061600; 6507036235; 57195513076; 55955461600; 55849241400; 60114774100; 59712693700","Innovative Smart Materials in Restorative Dentistry","2025","Journal of Functional Biomaterials","16","9","318","","","5","10.3390/jfb16090318","https://www.scopus.com/pages/publications/105017002303?origin=resultslist","The growing challenge of biofilm-associated infections in dentistry necessitates advanced solutions. This review highlights the potential of smart bioactive and antibacterial materials—bioactive glass ceramics (BGCs), silver nanoparticle (AgNP)-doped polymers, and pH-responsive chitosan coatings—in transforming restorative dentistry. BGCs reduce biofilms by >90% while promoting bone integration. AgNP-polymers effectively combat S. mutans and C. albicans but require controlled dosing (<0.3 wt% in PMMA) to avoid cytotoxicity. Chitosan coatings enable pH-triggered drug release, disrupting acidic biofilms. Emerging innovations like quaternary ammonium compounds, graphene oxide hybrids, and 4D-printed hydrogels offer on-demand antimicrobial and regenerative functions. However, clinical translation depends on addressing cytotoxicity, standardizing antibiofilm testing (≥3-log CFU/mL reduction), and ensuring long-term efficacy. These smart materials pave the way for self-defending restorations, merging infection control with tissue regeneration. Future advancements may integrate AI-driven design for multifunctional, immunomodulatory dental solutions. © 2025 by the authors.","antibacterial; bioactive; bioactive glass; chitosan; oral medicine; pH-responsive; restorative dentistry; silver nanoparticle; smart materials; stimuli-responsive","Biofilms; Controlled drug delivery; Cytotoxicity; Dental materials; Dentistry; Drug products; Glass ceramics; Hydrogels; Silver compounds; Smart Biomaterials; Tissue regeneration; chitosan; fluoxetine; glass; graphene oxide; hydrogel; polymer; quaternary ammonium derivative; silver nanoparticle; smart material; Antibacterials; Bioactive glass ceramics; Bioactive material; Bioactives; Chitosan coatings; Oral medicine; PH-responsive; Restorative dentistry; Stimuli-responsive; antibacterial activity; antimicrobial activity; biofilm; biofilm infection; Candida albicans; ceramics; colony forming unit; cytotoxicity; drug release; electric potential; human; nonhuman; pH; pharmaceutics; restorative dentistry; review; tissue regeneration; Bioactive glass; Chitosan; Silver nanoparticles","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017002303"
"Marin E.; Lanzutti A.","Marin, Elia (34880332900); Lanzutti, Alex (35102582300)","34880332900; 35102582300","History of Metallic Orthopedic Materials","2025","Metals","15","4","378","","","14","10.3390/met15040378","https://www.scopus.com/pages/publications/105003685432?origin=resultslist","The history of metallic orthopedic materials spans a few centuries, from the use of carbon steel to the widespread adoption of titanium and its alloys. This paper explores the evolution of these materials, emphasizing their mechanical properties, biocompatibility, and the roles that they have played in improving orthopedic care. Key developments include the discovery of titanium’s osseointegration capability, the advent of porous coatings for osseointegration, surface modifications, and the rise of additive manufacturing for patient-specific implants. Beyond titanium, emerging materials such as biodegradable alloys, tantalum, zirconium, and amorphous metals are creating a completely new field of application for orthopedic metals. These innovations address longstanding challenges, including stress shielding, corrosion, and implant longevity, while leading the way for bioresorbable and 3D-printed patient-specific solutions. This paper concludes by examining future trends and their potential for industrial application. By understanding the historical developments in metallic orthopedic materials, this review highlights how past advancements have laid the foundation for both current and future innovations, guiding research towards solutions that better mimic the properties of biological tissues, offer higher reliability in vivo, and enable patient-specific treatments. © 2025 by the authors.","additive manufacturing; biocompatibility; medical history; metallic orthopedic materials; osseointegration","Arthroplasty; Biological implants; Medicaments; Metal implants; Mechanical; Medical history; Metallic orthopedic material; Metallics; Orthopedic materials; Osseointegration; Patient specific; Porous coatings; Property; Titania; Tissue","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003685432"
